Year,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%
1998,Charlotte Hornets,0.6,1.6,36.5,0.6,1.4,41.6,3.2,8.3,38.4
1998,Chicago Bulls,0.3,0.9,33.9,0.6,1.6,35.9,3,9.6,31.6
1998,Cleveland Cavaliers,0.8,1.7,49.2,0.5,1.3,36.5,2.5,7.1,35.6
1998,Dallas Mavericks,0.7,1.6,41.5,0.5,1.5,34.3,4.1,11.4,35.7
1998,Denver Nuggets,0.3,0.9,33.3,0.4,1.1,35.4,2.9,9.1,32
1998,Detroit Pistons,0.2,1,23.6,0.3,0.9,27.1,3.2,9.7,32.5
1998,Golden State Warriors,0.3,0.9,29.5,0.2,0.8,29.6,1.9,7,27.1
1998,Houston Rockets,0.6,1.7,36.2,0.6,1.8,33.6,5.7,16.4,34.5
1998,Indiana Pacers,0.8,1.9,40.4,0.4,1,38.3,3.9,9.9,39
1998,Los Angeles Clippers,0.6,1.8,36.4,0.5,1.5,36.3,5.3,14.8,35.7
1998,Los Angeles Lakers,0.8,2.1,38.5,0.6,1.4,41.1,4.8,14,34.2
1998,Miami Heat,0.8,2.5,32.1,1.1,2.7,41.2,4.8,13.6,34.9
1998,Milwaukee Bucks,0.4,1,42.6,0.3,0.9,36.7,2.4,6.8,35.7
1998,Minnesota Timberwolves,0.5,1,45.9,0.7,1.6,41.5,2.6,8,33
1998,Brooklyn Nets,0.4,1.3,29.6,0.4,0.9,42.4,3.2,9.5,33.1
1998,New York Knicks,0.6,1.4,39.4,0.5,1.5,31.5,3.7,11.1,33.7
1998,Orlando Magic,0.4,1,34.2,0.4,1.1,35.6,2.9,9,31.8
1998,Philadelphia 76ers,0.4,1.1,33.3,0.3,0.8,39.6,2.4,8.3,29.3
1998,Phoenix Suns,0.7,1.7,38.2,0.6,1.7,35.4,4,11.3,35.6
1998,Portland Trail Blazers,0.3,1,30,0.3,0.9,28.8,3.1,10.1,30.6
1998,Sacramento Kings,0.3,0.8,40,0.5,1.3,42.4,2.7,7.8,34.3
1998,San Antonio Spurs,0.5,1.7,30.2,0.5,1.2,38.5,2.7,7.7,35.4
1998,Oklahoma City Thunder,0.8,2.1,40,0.9,1.9,44.9,5.8,15.1,38.8
1998,Toronto Raptors,0.6,1.5,41.3,0.5,1.3,38.6,3.6,10.8,33.2
1998,Utah Jazz,0.2,0.6,30.8,0.4,1,43.9,2.5,6.7,37.1
1998,Memphis Grizzlies,0.6,1.3,47.1,0.7,1.5,44.2,2.9,8.4,34.1
1998,Washington Wizards,0.4,1.3,34.1,0.7,1.8,38.1,2.9,8.7,33.3
1997,Atlanta Hawks,1,2.4,39.4,0.6,1.5,41.4,3.4,9.7,34.9
1997,Boston Celtics,0.7,1.5,46,0.9,2.1,40.7,2.1,7.1,29.8
1997,Charlotte Hornets,0.9,1.4,64.5,0.8,1.3,58.5,2.2,5.5,39.5
1997,Chicago Bulls,0.4,1,39.1,0.6,1.5,42.7,2.2,6.5,33
1997,Cleveland Cavaliers,0.5,1.2,41.7,0.5,1.6,33.3,1.3,3.9,34.5
1997,Dallas Mavericks,0.6,1.6,35.3,0.5,1.4,38.3,1.5,5,30.7
1997,Denver Nuggets,0.7,2,36.1,0.3,1.1,29.9,3.1,8.4,36.5
1997,Detroit Pistons,0.8,2.2,38.3,0.8,2.2,35.4,3.4,8.7,39.2
1997,Golden State Warriors,0.4,1,36.5,0.5,1.1,42.9,1.7,5.6,30.7
1997,Houston Rockets,1,2.4,40.9,0.5,1.3,40.8,2.4,6.6,36
1997,Indiana Pacers,0.4,1.2,34.9,0.3,0.8,31.5,1.9,5.5,35
1997,Los Angeles Clippers,0.5,1.3,35.2,0.6,0.9,62.3,2,6.5,30.5
1997,Los Angeles Lakers,0.7,1.5,45.8,0.5,1.1,45.8,3.2,9,35.2
1997,Miami Heat,0.9,2.2,39.2,1,2.4,42.4,2.5,6.8,36.2
1997,Milwaukee Bucks,0.3,0.7,41.5,0.4,0.9,40.6,2.2,6.5,34.4
1997,Minnesota Timberwolves,0.5,1.2,40.7,0.4,1,37.7,1.6,4.7,33.7
1997,Brooklyn Nets,0.6,1.5,44.1,0.3,1.1,29.4,2.5,7.5,33.7
1997,New York Knicks,0.4,1.2,31.3,0.7,1.5,45.5,1.9,5.6,33
1997,Orlando Magic,0.9,1.9,46.9,0.7,1.5,45.1,1.9,6.4,29.1
1997,Philadelphia 76ers,0.6,1.2,53,0.5,1.3,39.7,2.9,9.9,28.8
1997,Phoenix Suns,0.7,1.9,35.7,0.6,1.5,40.8,1.3,3.8,33.1
1997,Portland Trail Blazers,0.3,0.7,38.6,0.3,0.8,33.3,1.5,5.2,29.2
1997,Sacramento Kings,0.7,1.3,51.8,0.6,1.3,43.8,1,3.5,30.2
1997,San Antonio Spurs,0.5,1.5,32.1,0.5,1.1,42.4,1.4,4.8,28.7
1997,Oklahoma City Thunder,0.7,1.9,36.7,0.6,1.5,36.4,2.1,5.6,38.1
1997,Toronto Raptors,0.5,1.6,31.9,0.5,1.6,31.3,1.9,5.7,34
1997,Utah Jazz,0.3,0.7,48.9,0.4,0.9,40.6,1.2,3.8,30.7
1997,Memphis Grizzlies,0.4,1.3,28,0.6,1.6,39.1,1.9,5.9,32.8
1997,Washington Wizards,0.3,1.2,24.4,0.7,1.8,39.1,2,5.8,34.1
